Month,FullTime,PartTime,Intern,Contract,Terminate,OperationalCost
201901,240422,16413,835,38813,2360,5367754214.01
201902,,,,,2263,5453119475.99
201903,239491,16789,1060,39743,3966,5527625881.98
201904,,,,,3873,5367286525.00
201905,,,,,4029,5427404579.99
201906,240745,16781,3970,40269,,5460975560.01
201907,239914,16823,892,40836,3526,5514152279.99
201908,240540,17140,864,40941,4463,5294418929.01
201909,240099,17209,828,40860,3307,5562963591.99
201910,239750,17336,835,40495,3499,5431569466.00
201911,239787,17437,691,39452,3121,5372738622.01
201912,240072,17415,921,39025,2536,5488578409.01
202001,240129,17295,871,39072,2322,5548936902.04
202002,239623,17341,964,39071,2477,5586125909.93
202003,239851,17149,1087,39440,3460,5655456000.92
202004,239471,17188,1036,39764,1723,5479073629.97
202005,240204,16748,3792,39641,1450,5365968364.97
202006,240562,16367,3751,39620,1907,6097433114.97
202007,241122,15720,751,39693,2347,5226515018.95
202008,241143,15479,798,39348,3072,5328335988.96
202009,240465,15337,776,39129,2658,6320188956.99
202010,239938,15628,786,39639,3012,5195992907.95
202011,239934,15684,761,38993,2978,5383124130.96
202012,240450,15541,927,39347,2366,5469184358.96
202101,242522,15872,985,40016,2322,5781318297.98
202102,243078,16454,1174,40793,2340,6485118656.00
202103,242820,16653,1327,41323,3380,6458215153.99
202104,242809,16685,1595,42379,4332,5771060621.00
202105,243622,16735,4334,42650,4374,5761497750.00
202106,245044,16390,3823,43273,4209,6134629682.87
202107,247204,16539,991,44111,4904,5635403313.24
202108,248829,16888,1041,45094,4047,5815147584.75
202109,250814,17402,1068,45631,4119,5613198593.35
202110,253539,17466,982,46805,3947,5804690570.32
202111,254248,17044,889,46501,3746,5838129642.12
202112,256753,16645,1354,46761,3432,6244827046.06
202201,257855,16413,1407,47758,3353,6267200552.51
202202,257981,16253,1539,48734,3347,6316088567.69
202203,257709,16192,1803,49747,5005,6607571113.62
202204,259352,16064,2023,51296,5655,6196653846.94
202205,261406,15986,5786,50544,4610,6304692190.15
202206,264594,16245,4770,51694,4569,6248401310.41
202207,267528,17146,1166,52603,4641,6328446493.95
202208,270541,17346,1198,53226,4693,6409917955.51
202209,273473,17311,1096,52928,3788,6439338266.04
202210,275127,17353,1074,50560,3362,6311456310.08
202211,276036,17068,1007,50037,3308,6417671529.74
202212,277913,16754,1308,49329,2678,6293637496.83
202301,279409,16684,1851,49488,2447,6597455280.78
202302,279829,16579,1918,49806,2245,6748217559.50
202303,280792,16357,2265,49491,4027,6761776468.23
202304,281661,16433,2329,49499,3345,6515768436.28
202305,283386,16381,6006,49814,3322,7013364431.71
202306,290142,16580,5624,51298,3013,7292365709.40
202307,291268,16588,1117,52301,3528,6943961563.48
202308,291958,16604,1125,53114,3443,7125336886.72
202309,293247,16655,1068,53343,3236,7688131046.45
202310,293722,16676,1087,53685,2681,6993508342.56
202311,293612,16484,937,53934,2562,9804054357.88
202312,294960,16492,1492,53854,2460,7688805201.67
